Dataset,Source_Attack,Unseen_Attack,Fold,RF_Precision,RF_Recall,RF_F1,RF_Specificity,AE_Precision,AE_Recall,AE_F1,AE_Specificity,Ensemble_Precision,Ensemble_Recall,Ensemble_F1,Ensemble_Specificity,RF_Weight,AE_Weight,Decision_Threshold
Netflow,Port_Scanning,Denial_of_Service,1,0.0,0.0,0.0,0.9564548126505751,0.0,0.0,0.0,0.9880693961654993,0.0,0.0,0.0,0.9564586478486282,0.8,0.19999999999999996,0.5
Netflow,Port_Scanning,Malware,1,0.0,0.0,0.0,0.9564548126505751,0.005637404469241275,1.0,0.011211604588667034,0.9880693961654993,0.0,0.0,0.0,0.9564586478486282,0.8,0.19999999999999996,0.5
Netflow,Denial_of_Service,Port_Scanning,1,0.0,0.0,0.0,0.9956069549573421,0.0006510747497332182,0.000807334535802333,0.0007208334944952935,0.8902927650732,0.0,0.0,0.0,0.9956059089942367,0.8,0.19999999999999996,0.3
Netflow,Denial_of_Service,Malware,1,0.0,0.0,0.0,0.9956069549573421,0.0006161605574665002,1.0,0.0012315622748351833,0.8902927650732,0.0,0.0,0.0,0.9956059089942367,0.8,0.19999999999999996,0.3
Netflow,Malware,Port_Scanning,1,0.0,0.0,0.0,0.9999710616874175,0.0013105914511991911,0.0005513504146942762,0.0007761736854944226,0.9628048546634265,0.0,0.0,0.0,0.9999703643786805,0.6000000000000001,0.3999999999999999,0.4
Netflow,Malware,Denial_of_Service,1,0.0,0.0,0.0,0.9999710616874175,0.020753972260723497,0.08973646610573106,0.03371129947293479,0.9628048546634265,0.0,0.0,0.0,0.9999703643786805,0.6000000000000001,0.3999999999999999,0.4
Netflow,Port_Scanning,Denial_of_Service,2,0.0,0.0,0.0,0.9564011046768862,0.007442923076135008,0.05766788379107795,0.01318422067463648,0.9324426140858506,0.0,0.0,0.0,0.9563997100589261,0.8,0.19999999999999996,0.3
Netflow,Port_Scanning,Malware,2,0.0,0.0,0.0,0.9564011046768862,0.0010002062280882655,1.0,0.0019984136304170915,0.9324426140858506,0.0,0.0,0.0,0.9563997100589261,0.8,0.19999999999999996,0.3
Netflow,Denial_of_Service,Port_Scanning,2,0.0,0.0,0.0,0.9956484433100002,0.0016864760681015098,0.0003308089460190688,0.0005531210182694556,0.9826635041380058,0.0,0.0,0.0,0.9956491406189802,0.6000000000000001,0.3999999999999999,0.5
Netflow,Denial_of_Service,Malware,2,0.0,0.0,0.0,0.9956484433100002,0.0038863736527905766,1.0,0.007742656449553001,0.9826635041380058,0.0,0.0,0.0,0.9956491406189802,0.6000000000000001,0.3999999999999999,0.5
Netflow,Malware,Port_Scanning,2,0.0,0.0,0.0,0.9999661805144676,0.001501406078708632,0.0007443201285429048,0.0009952475612485354,0.9561765711853102,0.0,0.0,0.0,0.9999658318599776,0.6000000000000001,0.3999999999999999,0.4
Netflow,Malware,Denial_of_Service,2,0.0,0.0,0.0,0.9999661805144676,0.0,0.0,0.0,0.9561765711853102,0.0,0.0,0.0,0.9999658318599776,0.6000000000000001,0.3999999999999999,0.4
Netflow,Port_Scanning,Denial_of_Service,3,0.0,0.0,0.0,0.9564331960797303,0.00027881947832875603,0.0007937767899666614,0.0004126817089149566,0.9749976465830129,0.0,0.0,0.0,0.9564342420428357,0.8,0.19999999999999996,0.5
Netflow,Port_Scanning,Malware,3,0.0,0.0,0.0,0.9564331960797303,0.0026980043112440023,1.0,0.005381489341044952,0.9749976465830129,0.0,0.0,0.0,0.9564342420428357,0.8,0.19999999999999996,0.5
